avg_reward,avg_episode,avg_step,avg_time,flops_per_step,flops_per_episode,total_flops,reward_per_flops
-289.838,-1,-1,-1,9728,-9728,9728,-0.03

Episode,Score,Average Reward,Convergence Episode,Convergence Step,Convergence Time
149,-231.31340547551895,-70.04973100377158,-1,-1,-1
150,-263.84775694161283,-72.053740641407,-1,-1,-1
151,-24.660788794155195,-71.63437399555843,-1,-1,-1
152,-229.05308451440044,-74.55879085231531,-1,-1,-1
153,-301.11961484180875,-76.9587504538673,-1,-1,-1
154,-0.22298725199929947,-76.11575021443748,-1,-1,-1
155,9.701053007420015,-75.37417738833078,-1,-1,-1
156,-362.583209201115,-78.0073188455092,-1,-1,-1
157,-122.04998273308647,-77.79084352944727,-1,-1,-1
158,-169.7330041083694,-77.52881726726315,-1,-1,-1
159,-71.84897330832197,-77.49958266649915,-1,-1,-1
160,4.24116395822945,-77.58345319161604,-1,-1,-1
161,-12.17643537221575,-75.84823790216831,-1,-1,-1
162,-39.50394068979341,-75.73526593052594,-1,-1,-1
163,-218.7260257750163,-77.58441898522472,-1,-1,-1
164,-70.02445482252537,-77.82540294854914,-1,-1,-1
165,-42.330523857100694,-77.10403168328004,-1,-1,-1
166,-37.19602474400899,-74.35900202301413,-1,-1,-1
167,8.969875312397079,-73.01231988021321,-1,-1,-1
168,-178.0158702574194,-73.96680874314973,-1,-1,-1
169,-68.6333153690575,-73.47973904011445,-1,-1,-1
170,-4.155182378811418,-71.86161421039463,-1,-1,-1
171,-50.07149699645459,-71.4909919770617,-1,-1,-1
172,-33.78841865692125,-70.98659429186995,-1,-1,-1
173,-149.35499351673198,-71.75321881629105,-1,-1,-1
174,-32.69499137907836,-71.85229065597898,-1,-1,-1
175,-14.666120151952427,-71.16844751171382,-1,-1,-1
176,23.739965625998778,-69.67349682618428,-1,-1,-1
177,-148.56399768496698,-70.02448113660083,-1,-1,-1
178,-12.205904524995532,-69.32586276427375,-1,-1,-1
179,-257.4726521039911,-72.04800078479835,-1,-1,-1
180,-141.78685525071188,-72.47620221716323,-1,-1,-1
181,23.88741598204129,-71.47938642127832,-1,-1,-1
182,21.78015587210035,-70.16518507982668,-1,-1,-1
183,-687.6256018399579,-77.01068806264702,-1,-1,-1
184,-304.33336954105135,-79.28671160396966,-1,-1,-1
185,-438.83663078728716,-81.00779761834576,-1,-1,-1
186,-394.80931032310536,-84.31716914899975,-1,-1,-1
187,-551.336017484419,-89.21677382533943,-1,-1,-1
188,-429.7503240550054,-93.25698035661921,-1,-1,-1
189,-292.0419435973562,-95.75475048570672,-1,-1,-1
190,-317.3837188200622,-98.4239257782786,-1,-1,-1
191,-191.45014788250177,-99.35583306362612,-1,-1,-1
192,-337.1079327477541,-101.55951393082697,-1,-1,-1
193,-536.4052957408495,-106.27575968415015,-1,-1,-1
194,-600.3536916621268,-111.06084959968017,-1,-1,-1
195,-216.7932272159992,-112.65038157824192,-1,-1,-1
196,-570.9593336422612,-117.61636390752646,-1,-1,-1
197,-517.8084352818337,-122.25597355566664,-1,-1,-1
198,-194.2291922761603,-122.8063251231373,-1,-1,-1
199,-241.80091055618408,-124.1289504237912,-1,-1,-1
200,-181.47466330948038,-125.12566207754254,-1,-1,-1
201,-290.2404372362845,-127.41578387477207,-1,-1,-1
202,-139.79273097749643,-128.5566958078871,-1,-1,-1
203,-116.74683740142292,-129.08705191838658,-1,-1,-1
204,-136.74626585690535,-129.9325181981797,-1,-1,-1
205,-381.47206889093763,-132.70772245797068,-1,-1,-1
206,-442.77758198526067,-136.42600036573185,-1,-1,-1
207,-256.3276895969934,-138.46407301889604,-1,-1,-1
208,-387.5667678581141,-141.75275201092788,-1,-1,-1
209,-343.2082067583546,-145.18869265966532,-1,-1,-1
210,-353.1684538305036,-148.5789269034191,-1,-1,-1
211,-70.04219909258289,-148.64707234632914,-1,-1,-1
212,-135.7547203976417,-149.84425519067844,-1,-1,-1
213,-115.7312729310391,-149.7937595858704,-1,-1,-1
214,-246.28151733923428,-151.3469626914694,-1,-1,-1
215,-482.6928616629426,-156.11987312209834,-1,-1,-1
216,-147.23939321424814,-157.5490834996995,-1,-1,-1
217,-140.4315741872855,-158.56410850444112,-1,-1,-1
218,-459.3721091570105,-162.40870358156045,-1,-1,-1
219,-428.5325648145639,-166.07251565969315,-1,-1,-1
220,-599.3758189170748,-171.86344687670996,-1,-1,-1
221,-335.99939771344845,-175.13367220549105,-1,-1,-1
222,-282.12442788640266,-176.8733538348045,-1,-1,-1
223,-71.8738817481499,-177.1289102372725,-1,-1,-1
224,-263.2642596511127,-179.13762364050766,-1,-1,-1
225,30.819675666886937,-178.83081782038755,-1,-1,-1
226,-90.72864245809674,-179.275865085814,-1,-1,-1
227,-326.48239911817143,-181.89110547978783,-1,-1,-1
228,-505.9678066248391,-187.08673940665074,-1,-1,-1
229,-328.7170040548877,-189.98002688406126,-1,-1,-1
230,-114.92895983666328,-190.63887139495884,-1,-1,-1
231,-310.0736132714194,-192.8813897639984,-1,-1,-1
232,-70.7201358837245,-193.28696458405867,-1,-1,-1
233,-313.399629414354,-195.57442695648857,-1,-1,-1
234,-109.88166313699014,-196.12132991650728,-1,-1,-1
235,-306.2069540797559,-198.30199165938097,-1,-1,-1
236,-162.60780609378486,-200.01435483217915,-1,-1,-1
237,-4.449562442831354,-199.79040299794127,-1,-1,-1
238,-295.3350063781483,-202.60065527779926,-1,-1,-1
239,-30.183141698908784,-200.93619453149446,-1,-1,-1
240,55.85950041133539,-200.28937798850566,-1,-1,-1
241,-19.566048032452642,-200.09382367150067,-1,-1,-1
242,25.111485345738046,-199.2115123946694,-1,-1,-1
243,-57.37674447457846,-199.69087620910375,-1,-1,-1
244,-265.9665261192452,-201.95625354288677,-1,-1,-1
245,-241.52789550091086,-203.64230541640646,-1,-1,-1
246,-5.142986100648443,-203.56316701397037,-1,-1,-1
247,5.3446751466744615,-203.3281058654249,-1,-1,-1
248,-162.00076081524705,-204.30871115777387,-1,-1,-1
249,-272.59685019671446,-204.7215456049858,-1,-1,-1
250,-38.469168391316444,-202.4677597194828,-1,-1,-1
251,-136.7473885968453,-203.58862571750976,-1,-1,-1
252,-268.401445916142,-203.98210933152714,-1,-1,-1
253,-237.01893729779368,-203.34110255608704,-1,-1,-1
254,-233.93497589262233,-205.67822244249325,-1,-1,-1
255,-488.82704074299755,-210.66350337999745,-1,-1,-1
256,-519.0487784317111,-212.22815907230338,-1,-1,-1
257,-64.4387018597891,-211.6520462635704,-1,-1,-1
258,-193.3185897174052,-211.8879021196608,-1,-1,-1
259,-545.7099987543716,-216.6265123741213,-1,-1,-1
260,-339.89588242410787,-220.06788283794467,-1,-1,-1
261,25.775816348423653,-219.68836032073824,-1,-1,-1
262,-269.7672526438087,-221.9909934402784,-1,-1,-1
263,120.85544495715978,-218.59517873295664,-1,-1,-1
264,-217.79536143584284,-220.0728877990898,-1,-1,-1
265,-189.98432661732227,-221.549425826692,-1,-1,-1
266,-477.96689363292035,-225.95713451558112,-1,-1,-1
267,-201.02100565895307,-228.05704332529461,-1,-1,-1
268,-105.38890359399495,-227.33077365866038,-1,-1,-1
269,31.168595497736266,-226.33275454999242,-1,-1,-1
270,-296.94358491111603,-229.2606385753155,-1,-1,-1
271,-271.1383769805911,-231.47130737515687,-1,-1,-1
272,-538.4779291521013,-236.51820248010867,-1,-1,-1
273,-260.98499786162085,-237.63450252355756,-1,-1,-1
274,-341.74515727433646,-240.7250041825102,-1,-1,-1
275,-271.21524002239477,-243.2904953812146,-1,-1,-1
276,-59.37828959073459,-244.1216779333819,-1,-1,-1
277,-17.724193708068988,-242.81327989361296,-1,-1,-1
278,-122.33951933376052,-243.91461604170058,-1,-1,-1
279,215.3301676403961,-239.18658784425676,-1,-1,-1
280,-54.16320799271058,-238.31035137167675,-1,-1,-1
281,-276.0256714494778,-241.30948224599194,-1,-1,-1
282,-204.6454651570591,-243.5737384562835,-1,-1,-1
283,-326.8357621896399,-239.9658400597803,-1,-1,-1
284,-306.0605030694433,-239.98311139506418,-1,-1,-1
285,-148.70653471501,-237.08181043434143,-1,-1,-1
286,-367.3028574871798,-236.80674590598213,-1,-1,-1
